station_name,start_count,end_count
N Green St & W Lake St,1978,203
Damen Ave & Wellington Ave,1963,4659
Richmond St & Diversey Ave,1919,3064
Damen Ave & Clybourn Ave,1894,4508
Halsted St & 18th St,1832,3342
Clark St & 9th St (AMLI),1777,0
Wolcott (Ravenswood) Ave & Montrose Ave,1771,0
Shore Dr & 55th St,1749,0
Central Park Ave & Bloomingdale Ave,1742,2518
Troy St & North Ave,1742,2395
Ravenswood Ave & Irving Park Rd,1737,0
Morgan Ave & 14th Pl,1725,0
Larrabee St & Menomonee St,1721,0
University Library (NU),1720,2586
Lincoln Ave & Melrose St,1719,0
Greenview Ave & Jarvis Ave,1692,2941
Calumet Ave & 35th St,1676,3933
Milwaukee Ave & Fullerton Ave,1674,2098
Lincoln Ave & Sunnyside Ave,1674,0
Kosciuszko Park,1634,2222
Sedgwick St & Schiller St,1629,0
California Ave & Fletcher St,1616,3565
Racine Ave & 15th St,1591,2543
Central Park Ave & Elbridge Ave,1590,2348
Kimball Ave & Belmont Ave,1590,0
Lincoln Ave & Waveland Ave,1584,3991
California Ave & Montrose Ave,1578,3068
Lincoln Ave & Belle Plaine Ave,1567,0
Glenwood Ave & Morse Ave,1555,0
Leavitt St & Belmont Ave,1550,0
Damen Ave & Madison St,1547,2423
Campbell Ave & Fullerton Ave,1544,2875
Damen Ave & Walnut (Lake) St,1543,0
Lincoln Ave & Belmont Ave (Temp),1515,0
Ellis Ave & 60th St,1498,0
Chicago Ave & Washington St,1497,0
Ellis Ave & 55th St,1494,0
Talman Ave & Addison St,1491,3146
Damen Ave & Leland Ave,1467,0
Western Ave & Monroe St,1458,2201
Morgan St & 31st St,1444,0
Laflin St & Cullerton St,1411,2614
Canal St & Harrison St,1411,2612
Museum of Science and Industry,1406,0
Damen Ave & Melrose Ave,1403,3669
Western Ave & Roscoe St,1399,3063
Claremont Ave & Hirsch St,1398,2668
Lincoln Ave & Addison St,1392,0
Wood St & Webster Ave,1364,0
Sheridan Rd & Loyola Ave,1364,0
Kimbark Ave & 53rd St,1355,0
Winchester Ave & Elston Ave,1341,0
Ashland Ave & Wrightwood Ave,1329,5020
Elston Ave & Wabansia Ave,1324,0
Indiana Ave & 26th St,1316,0
Paulina St & Montrose Ave,1313,0
Paulina St & Howard St,1312,2045
Damen Ave & Cullerton St,1308,2352
Sheridan Rd & Columbia Ave,1285,2814
Avondale Ave & Irving Park Rd,1284,1895
Woodlawn Ave & 55th St,1280,0
Fort Dearborn Dr & 31st St*,1280,0
Clark St & Elmdale Ave,1248,0
Avers Ave & Belmont Ave,1240,2247
Wentworth Ave & Cermak Rd*,1236,0
Troy St & Elston Ave,1226,2352
Wentworth Ave & 33rd St,1212,3714
Glenwood Ave & Touhy Ave,1210,1766
California Ave & Byron St,1206,2210
Ashland Ave & Belle Plaine Ave,1199,2863
Southport Ave & Clark St,1197,0
Lincoln Ave & Byron St,1187,2714
Ravenswood Ave & Berteau Ave,1183,0
Malcolm X College,1155,1803
Ogden Ave & Roosevelt Rd,1147,0
Clinton St & 18th St,1146,0
Emerald Ave & 28th St,1141,0
Wabash Ave & Cermak Rd,1138,0
Lake Park Ave & 35th St,1137,0
Cherry Ave & Blackhawk St,1129,2019
May St & Cullerton St,1112,2362
Damen Ave & Foster Ave,1111,0
Rockwell St & Eastwood Ave,1106,0
Leavitt St & Addison St,1100,0
Shields Ave & 28th Pl,1084,3086
Halsted St & North Branch St,1058,0
Clark St & Lunt Ave,1044,0
N Carpenter St & W Lake St,1042,54
Campbell Ave & Montrose Ave,1037,2722
Halsted St & 35th St,1037,0
Smith Park,1035,1968
Spaulding Ave & Division St,1027,1504
Halsted St & 21st St,1006,2503
Damen Ave & Sunnyside Ave,1006,0
Damen Ave & Wabansia Ave,1005,95
Noble St & Milwaukee Ave (Temp),996,1616
Eastlake Ter & Howard St,981,1377
Western Ave & 21st St,976,1409
Ellis Ave & 58th St,976,0
Blackstone Ave & 59th St,971,2959
Blackstone Ave & Hyde Park Blvd,962,4095
Lake Park Ave & 56th St,947,0
State St & 19th St,940,0
Lake Park Ave & 53rd St,937,0
Hampden Ct & Diversey Ave,907,0
Evanston Civic Center,897,1152
Halsted St & Archer Ave,867,0
Cornell Ave & Hyde Park Blvd,856,0
Rockwell St & Fletcher St,838,1284
Kedzie Ave & Leland Ave,830,0
Clark St & Schreiber Ave,826,0
Bernard St & Elston Ave,823,1317
Campbell Ave & Augusta Blvd,810,820
W Oakdale Ave & N Broadway,799,61
Albany Ave & Montrose Ave,788,1805
Drake Ave & Addison St,786,0
Wilton Ave & Diversey Pkwy*,776,0
California Ave & Lake St,769,639
Oakley Ave & Irving Park Rd,755,0
Racine Ave & 35th St,748,1657
Central Park Ave & North Ave,747,1003
Knox Ave & Montrose Ave,737,1178
Wallace St & 35th St,733,0
Keystone Ave & Fullerton Ave,717,978
Sheridan Rd & Greenleaf Ave,716,0
W Armitage Ave & N Sheffield Ave,697,48
Monticello Ave & Irving Park Rd,689,0
Leavitt St & Lawrence Ave,675,0
Manor Ave & Leland Ave,673,0
Racine Ave & 13th St,665,992
Wentworth Ave & 35th St,660,0
State St & 95th St,651,569
Milwaukee Ave & Cuyler Ave,633,980
Ellis Ave & 53rd St,625,0
Woodlawn Ave & 58th St,624,2243
Clark St & Jarvis Ave,617,1009
Wells St & 19th St,612,0
Hoyne Ave & Balmoral Ave,609,2269
Washtenaw Ave & Lawrence Ave,603,0
University Ave & 59th St,601,2261
Ashland Ave & Archer Ave,592,1432
Elston Ave & George St,592,912
Clark St & Columbia Ave,575,0
Western Ave & Howard St,574,929
Clinton St & Polk St,553,1221
MTV Hubbard St,548,15
Harper Ave & 59th St,539,0
Christiana Ave & Lawrence Ave,538,1476
Dodge Ave & Church St,523,715
Loomis St & Archer Ave,513,0
Washtenaw Ave & Polk St,510,552
Bosworth Ave & Howard St,508,800
Lincoln Ave & Winona St,505,0
Sawyer Ave & Irving Park Rd,494,0
Greenwood Ave & 47th St,493,0
California Ave & 21st St,485,695
Francisco Ave & Foster Ave,485,0
California Ave & Francis Pl (Temp),483,715
California Ave & 23rd Pl,481,551
Ridge Blvd & Howard St,462,600
MLK Jr Dr & Pershing Rd,459,1373
Kedzie Ave & George St,458,523
Leavitt St & Archer Ave,448,0
N Sheffield Ave & W Wellington Ave,447,37
Western Ave & Grace St,444,754
N Paulina St & Lincoln Ave,443,21
St. Louis Ave & Balmoral Ave,428,0
Long & Irving Park,427,516
Wood St & 35th St,425,0
Clark St & Touhy Ave,419,0
Central St Metra,416,0
State St & 29th St,411,1282
Francisco Ave & Chicago Ave,411,440
Drake Ave & Montrose Ave,410,0
W Washington Blvd & N Peoria St,409,20
Elmwood Ave & Austin St,408,707
Kilbourn Ave & Irving Park Rd,405,509
Kedzie Ave & Lake St,403,0
Wentworth Ave & 24th St,403,0
Cottage Grove Ave & 51st St,398,0
Francisco Ave & Montrose Ave,395,782
Conservatory Dr & Lake St,395,581
Calumet Ave & 51st St,388,880
Troy St & Grace St,387,606
Winchester (Ravenswood) Ave & Balmoral Ave,387,0
N Damen Ave & W Chicago Ave,380,5
N Shore Channel Trail & Argyle St,375,764
Normal Ave & Archer Ave,371,0
N Southport Ave & W Newport Ave,370,16
Valli Produce - Evanston Plaza,367,508
Central Park Ave & Ogden Ave,366,570
Kedzie Ave & 48th Pl,362,437
